Şehir,Seviye,Pozisyon,Maaş_Net_TL
Istanbul,Junior,Game Development,41000
Istanbul,Mid,Frontend,67000
Istanbul,Mid,Frontend,66000
Istanbul,Junior,Backend,50000
Istanbul,Junior,Game Development,48000
Istanbul,Junior,QA/Test,52000
Istanbul,Senior,Machine Learning,172000
Istanbul,Junior,Backend,51000
Ankara,Junior,Backend,71000
Istanbul,Junior,Frontend,44000
Istanbul,Senior,Frontend,110000
Istanbul,Junior,Business Analyst,54000
Izmir,Junior,Backend,66000
Istanbul,Mid,Frontend,44000
Istanbul,Mid,Game Development,79000
Diğer,Junior,Backend,44000
Istanbul,Junior,UI/UX,30000
Istanbul,Mid,Fullstack,69000
Istanbul,Junior,Fullstack,36000
Istanbul,Junior,Backend,60000
Istanbul,Junior,QA/Test,50000
Istanbul,Junior,Frontend,40000
Istanbul,Mid,QA/Test,91000
Istanbul,Mid,Fullstack,77000
Istanbul,Junior,QA/Test,57000
Diğer,Senior,Backend,105000
Izmir,Junior,UI/UX,56000
Izmir,Junior,QA/Test,57000
Diğer,Junior,Data Science,59000
Istanbul,Junior,Mobile,42000
Istanbul,Mid,Product Manager,75000
Istanbul,Junior,Fullstack,47000
Ankara,Junior,Frontend,50000
Istanbul,Senior,DevOps,147000
Diğer,Mid,Backend,94000
Diğer,Junior,Fullstack,51000
Ankara,Senior,Game Development,112000
Istanbul,Mid,Frontend,62000
Istanbul,Junior,Backend,56000
Istanbul,Junior,Fullstack,39000
Istanbul,Junior,UI/UX,39000
Istanbul,Junior,DevOps,44000
Diğer,Junior,DevOps,47000
Diğer,Mid,Backend,91000
Istanbul,Junior,Backend,49000
Istanbul,Junior,Backend,64000
Istanbul,Mid,Backend,105000
Istanbul,Senior,Fullstack,134000
Istanbul,Mid,Frontend,66000
Istanbul,Junior,Mobile,46000
Izmir,Senior,Game Development,126000
Istanbul,Mid,Frontend,75000
Diğer,Mid,Backend,76000
Diğer,Junior,Mobile,60000
Istanbul,Junior,Data Engineer,76000
Istanbul,Junior,Cybersecurity,49000
Ankara,Mid,Frontend,84000
Istanbul,Junior,Backend,56000
Istanbul,Junior,Fullstack,60000
Istanbul,Junior,UI/UX,40000
Istanbul,Senior,Backend,130000
Istanbul,Junior,UI/UX,42000
Ankara,Junior,Mobile,47000
Diğer,Mid,Backend,71000
Ankara,Mid,QA/Test,74000
Istanbul,Senior,Data Science,159000
Izmir,Mid,Backend,87000
Istanbul,Junior,Frontend,42000
Istanbul,Junior,Backend,55000
Ankara,Junior,Mobile,48000
Ankara,Mid,Fullstack,63000
Istanbul,Mid,Mobile,89000
Diğer,Junior,Frontend,53000
Istanbul,Senior,Data Science,123000
Istanbul,Mid,UI/UX,45000
Istanbul,Junior,Backend,60000
Istanbul,Senior,Backend,146000
Ankara,Junior,Data Science,74000
Istanbul,Junior,Backend,39000
Istanbul,Junior,Backend,67000
Izmir,Junior,Backend,43000
Ankara,Junior,Game Development,35000
Istanbul,Mid,QA/Test,60000
Diğer,Mid,Machine Learning,89000
Istanbul,Junior,Frontend,50000
Diğer,Junior,QA/Test,46000
Istanbul,Junior,Fullstack,61000
Ankara,Junior,UI/UX,53000
Ankara,Junior,Frontend,54000
Ankara,Mid,Game Development,63000
Istanbul,Mid,Machine Learning,103000
Ankara,Junior,Machine Learning,52000
Ankara,Junior,Game Development,40000
Ankara,Mid,Frontend,66000
Istanbul,Junior,Fullstack,62000
Istanbul,Mid,Fullstack,73000
Istanbul,Mid,Backend,114000
Ankara,Junior,Fullstack,72000
Istanbul,Mid,Fullstack,108000
Diğer,Senior,Frontend,122000
Istanbul,Senior,Fullstack,108000
Istanbul,Mid,Backend,115000
Istanbul,Junior,Fullstack,55000
Istanbul,Junior,UI/UX,46000
Istanbul,Junior,Product Manager,41000
Istanbul,Senior,Frontend,112000
Istanbul,Senior,Data Science,135000
Diğer,Junior,Data Science,70000
Ankara,Mid,Machine Learning,69000
Ankara,Mid,DevOps,64000
Diğer,Mid,Game Development,48000
Istanbul,Mid,Data Science,83000
Ankara,Junior,Frontend,63000
Ankara,Mid,Backend,102000
Istanbul,Senior,Data Science,120000
Istanbul,Junior,Machine Learning,64000
Diğer,Junior,Data Engineer,75000
Istanbul,Junior,Frontend,39000
Istanbul,Junior,Backend,41000
Istanbul,Senior,QA/Test,115000
Istanbul,Junior,Data Science,83000
Istanbul,Junior,QA/Test,71000
Istanbul,Mid,Frontend,70000
Istanbul,Junior,Fullstack,40000
Diğer,Junior,Backend,40000
Ankara,Mid,Backend,101000
Ankara,Mid,Product Manager,67000
Izmir,Senior,Fullstack,136000
Istanbul,Junior,Fullstack,54000
Istanbul,Junior,Frontend,47000
Istanbul,Mid,Game Development,54000
Ankara,Junior,Backend,59000
Ankara,Junior,Frontend,54000
Diğer,Junior,UI/UX,41000
Ankara,Junior,Backend,67000
Izmir,Junior,Backend,54000
Diğer,Mid,QA/Test,100000
Istanbul,Junior,DevOps,63000
Istanbul,Junior,Frontend,60000
Ankara,Junior,Backend,60000
Diğer,Junior,Mobile,42000
Izmir,Junior,Fullstack,44000
Istanbul,Mid,Backend,94000
Izmir,Junior,Mobile,30000
Ankara,Junior,Mobile,49000
Ankara,Junior,Fullstack,39000
Istanbul,Mid,UI/UX,43000
Diğer,Junior,Frontend,47000
Diğer,Mid,Data Science,93000
Diğer,Junior,Data Science,63000
Istanbul,Mid,Backend,93000
Ankara,Junior,Backend,46000
Ankara,Mid,Frontend,59000
Diğer,Junior,Game Development,30000
Istanbul,Senior,Fullstack,130000
Istanbul,Junior,Frontend,57000
Ankara,Junior,Cybersecurity,78000
Istanbul,Junior,Backend,59000
Istanbul,Senior,Machine Learning,130000
Istanbul,Junior,UI/UX,34000
Istanbul,Mid,Backend,75000
Istanbul,Junior,QA/Test,50000
Diğer,Junior,Backend,61000
Ankara,Junior,UI/UX,47000
Istanbul,Mid,DevOps,71000
Ankara,Junior,Frontend,50000
Istanbul,Mid,Fullstack,80000
Istanbul,Senior,Product Manager,64000
Istanbul,Junior,Game Development,49000
Ankara,Mid,Backend,89000
Ankara,Junior,Backend,77000
Istanbul,Junior,Machine Learning,59000
Istanbul,Mid,Fullstack,66000
Diğer,Junior,DevOps,50000
Istanbul,Junior,Data Science,55000
Diğer,Junior,Frontend,55000
Istanbul,Junior,Frontend,70000
Istanbul,Junior,Machine Learning,71000
Istanbul,Junior,Fullstack,46000
Diğer,Mid,Fullstack,86000
Ankara,Senior,QA/Test,119000
Istanbul,Mid,QA/Test,75000
Izmir,Junior,Data Science,47000
Ankara,Senior,Frontend,114000
Izmir,Junior,Frontend,35000
Istanbul,Mid,Frontend,66000
Istanbul,Mid,QA/Test,91000
Istanbul,Junior,Cybersecurity,50000
Istanbul,Mid,Mobile,105000
Diğer,Mid,QA/Test,84000
Istanbul,Mid,Machine Learning,87000
Istanbul,Junior,Data Science,62000
Istanbul,Junior,Mobile,49000
Ankara,Senior,Mobile,154000
Izmir,Junior,QA/Test,49000
Istanbul,Junior,Backend,50000
Diğer,Mid,Mobile,61000
Istanbul,Junior,Product Manager,34000
Istanbul,Junior,Machine Learning,45000
Ankara,Junior,Frontend,62000
Izmir,Junior,Cybersecurity,50000
Diğer,Mid,Frontend,77000
Izmir,Junior,Backend,42000
Izmir,Junior,Mobile,57000
Ankara,Junior,Frontend,54000
Diğer,Mid,Game Development,41000
Ankara,Mid,Embedded Software Developer,76000
Istanbul,Senior,Frontend,125000
Istanbul,Junior,QA/Test,75000
Istanbul,Junior,Frontend,50000
Istanbul,Junior,Embedded Software Developer,63000
Istanbul,Junior,Frontend,52000
Istanbul,Senior,Backend,153000
Istanbul,Junior,Game Development,39000
Istanbul,Junior,Data Engineer,56000
Izmir,Junior,Frontend,44000
Izmir,Junior,DevOps,50000
Istanbul,Junior,Backend,41000
Istanbul,Senior,Mobile,176000
Istanbul,Senior,Mobile,135000
Istanbul,Junior,Backend,70000
Diğer,Junior,Machine Learning,49000
Ankara,Junior,Data Science,66000
Izmir,Junior,Backend,38000
